SNo,Date,StartupName,Location,IndustryVertical,SubVertical,InvestorsName,InvestmentType,AmountInUSD,Remarks
1085,2016-12-02 00:00:00,RKSV,Mumbai,Consumer Internet,Online Stock Trading Platform,Kalaari Capital,Private Equity,4000000,
1086,15/02/2016,Aasaanjobs,Mumbai,Consumer Internet,Online Recruitment Marketplace,"Aspada Advisors, IDG Ventures,  Inventus Capital",Private Equity,5000000,
1087,15/02/2016,Snapdeal,New Delhi,eCommerce,Horizontal Online Marketplace,Ontario Teachers’ Pension Plan & Others,Private Equity,200000000,
1088,15/02/2016,Jugnoo,Chandigarh,Consumer Internet,Transportation & On-demand delivery aggregator,Saumya Tandon,Private Equity,,
1089,15/02/2016,Snapbizz,Bangalore,Technology,Connectivity platform for local grocery stores,Ratan Tata,Private Equity,,
1090,15/02/2016,GoYaNo,Gurgaon,Consumer Internet,Events & Restaurant Discovery Marketplace App,Mukesh Kumar Gupta,Seed Funding,50000,
1091,15/02/2016,RentSher,Bangalore,Consumer Internet,Online Household Product Rental platform,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",Seed Funding,300000,
1092,15/02/2016,Buddy,Bangalore,Finance,Micro Lending Platform for eCommerce purchases,"Blume Ventures,  Tracxn Labs",Seed Funding,500000,
1093,15/02/2016,Legistify,New Delhi,Consumer Internet,Online Legal services platform,Ranjit Singh,Seed Funding,,
1094,16/02/2016,TableHero,Bangalore,Consumer Internet,Dynamic Restaurant Website creator,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Seed Funding,1000000,
1095,16/02/2016,BetterPlace,Bangalore,Technology,Data analytics based Verification services Platform,Unitus Seed Fund,Seed Funding,970000,
1096,16/02/2016,Salebhai,Ahmedabad,eCommerce,"Sweets, Eatables, Handicrafts Online Marketplace","Virendra Shekhawat, Deepak Chokhani, Yogesh Patel & Others",Seed Funding,,
1097,16/02/2016,icustommadeit,Pune,eCommerce,Professional Custom creators Marketplace,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",Private Equity,4000000,
1098,16/02/2016,Tring,Pune,Consumer Internet,Instant Messaging App,Vishwadeep Bajaj & Others,Seed Funding,,
1099,16/02/2016,Medinfi,Bangalore,Consumer Internet,Doctor & Clinics Discovery platform,"Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal",Seed Funding,,
1100,17/02/2016,Timemytask,Mumbai,Consumer Internet,On-Demand home cleaning services,Lead Angels,Seed Funding,,
1101,17/02/2016,GameZop,New Delhi,Technology,Mobile Gaming Platform,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",Seed Funding,350000,
1102,17/02/2016,Notary Mama,Bangalore,Consumer Internet,On-demand Legal documentation and registration service,"Dr Nandish Domlur, Amit Sandill",Seed Funding,,
1103,17/02/2016,The Viral Fever,Mumbai,Consumer Internet,Independent Online Video production company,Tiger Global,Private Equity,10000000,
1104,17/02/2016,Avanti Learning,New Delhi,Education,Private Coaching Classes,Michael & Susan Dell Foundation,Private Equity,5000000,
